slug,category,has_use_client,external_imports,buildora_imports,uses_raf,uses_getBoundingClientRect,uses_framer_motion,hard_coded_colors,b_vars,reduced_motion,keyboard_handling,loc
accordion,registry:component,true,react,,false,false,false,6,0,true,false,176
advanced-table,registry:component,true,react,,false,false,false,17,2,false,false,107
agent-timeline,registry:component,true,react,,false,false,false,8,1,false,false,68
ai-review-edit,registry:component,true,react,,false,false,false,8,3,false,false,93
alert-dialog,registry:component,true,react,,false,false,false,5,2,false,false,77
attachment-prompt,registry:component,true,react,,false,false,false,10,2,false,false,77
avatar,registry:component,true,react,,false,false,false,5,1,false,false,116
backdrop,registry:component,true,react,,false,false,false,2,0,true,false,222
badge,registry:component,true,react,,false,false,false,0,68,false,false,106
breadcrumb,registry:component,true,react,,false,false,false,5,0,false,false,82
button,registry:component,true,react,,false,false,false,0,20,true,false,104
calendar,registry:component,true,react,,false,false,false,8,3,false,true,91
checkbox,registry:component,true,react,,false,false,false,3,2,true,false,86
comment-thread,registry:component,false,,,false,false,false,0,0,false,false,1
context-menu,registry:component,true,react;react-dom,,false,false,false,8,3,false,false,215
cta-block,registry:component,true,react,,false,false,false,5,2,false,false,62
cursor-fx,registry:component,true,react,,true,false,false,0,0,true,false,140
dialog,registry:component,true,react;react-dom,,false,false,false,4,0,true,true,194
diff-viewer,registry:component,true,react,,false,false,false,6,0,false,false,75
drawer,registry:component,true,react;react-dom,,false,false,false,3,0,true,true,188
dropdown-menu,registry:component,true,react;react-dom,,false,true,false,8,3,true,false,243
expandable-sidebar,registry:component,true,react,,false,false,false,6,1,true,false,164
feature-grid,registry:component,true,react,,false,false,false,4,0,false,false,39
file-tree,registry:component,true,react,,false,false,false,13,4,false,false,72
floating-navbar,registry:component,true,react,,false,false,false,5,0,true,false,86
fx-button,registry:component,true,react,,false,true,false,3,3,true,false,128
fx-card,registry:component,true,react,,false,true,false,1,1,true,false,100
hover-card,registry:component,true,react;react-dom,,false,true,false,1,0,true,false,160
input,registry:component,true,react,,false,false,false,0,26,false,false,125
interactive-dropzone,registry:component,true,react,,false,true,false,9,6,false,true,99
json-viewer,registry:component,true,react,,false,false,false,17,2,false,false,107
kbd,registry:component,true,react,,false,false,false,3,0,false,false,66
log-viewer,registry:component,true,react,,false,false,false,17,2,false,false,107
logo-cloud,registry:component,true,react,,false,false,false,4,0,false,false,31
magnetic-button,registry:component,true,react,,false,true,false,0,13,true,false,95
masonry-layout,registry:component,true,react,,false,false,false,1,0,false,false,83
mobile-nav,registry:component,true,react;framer-motion,,false,false,true,4,1,true,false,129
modal-stack,registry:component,true,react,,false,false,false,0,0,false,false,117
model-selector,registry:component,true,react,,false,false,false,16,11,true,false,105
navbar,registry:component,true,react;framer-motion,,false,false,true,5,2,true,false,126
pagination,registry:component,true,react,,false,false,false,14,1,true,false,189
popover,registry:component,true,react;react-dom,,false,true,false,1,0,true,false,166
progress,registry:component,true,react;framer-motion,,false,false,true,2,2,true,false,97
query-builder,registry:component,true,react,,false,false,false,9,0,false,false,79
radio-group,registry:component,true,react,,false,false,false,3,2,true,false,114
rich-text-editor,registry:component,true,react,,false,false,false,5,0,false,false,50
separator,registry:component,true,react,,false,false,false,1,0,false,false,62
sheet,registry:component,true,react;react-dom,,false,false,false,3,0,true,true,225
sidebar,registry:component,true,react;framer-motion,,false,false,true,10,1,true,false,265
site-footer,registry:component,true,react,,false,false,false,8,0,false,false,60
skeleton,registry:component,true,react,,false,false,false,2,0,true,false,94
slash-commands,registry:component,true,react,,false,false,false,3,2,false,true,73
slider,registry:component,true,react;framer-motion,,false,false,true,1,3,true,false,93
slingshot-otp,registry:component,true,react;framer-motion,,true,true,true,14,21,false,false,365
spinner,registry:component,true,react,,false,false,false,2,2,false,false,72
spring,registry:lib,false,,,true,false,false,0,0,true,false,69
step-nav,registry:component,true,react,,false,false,false,6,6,true,true,163
streaming-chat,registry:component,true,react,,false,false,false,16,11,true,false,105
switch,registry:component,true,react,,false,false,false,5,1,true,false,64
tabs,registry:component,true,react;framer-motion,,false,false,true,4,1,true,false,152
terminal,registry:component,true,react,@buildora/magnetic-button,false,false,false,13,4,false,false,72
text-fx,registry:component,true,react,,true,false,false,1,0,true,false,182
textarea,registry:component,true,react,,false,false,false,0,26,false,false,125
toast,registry:component,true,react,,false,false,false,8,2,false,false,145
token-meter,registry:component,true,react,,false,false,false,16,11,true,false,105
tokens,registry:theme,false,,,false,false,false,38,0,true,false,193
tool-call-viz,registry:component,true,react,,false,false,false,16,11,true,false,105
tooltip,registry:component,true,react,,false,false,false,2,0,false,false,106
use-pointer-proximity,registry:hook,true,react,,true,true,false,0,0,true,false,85
use-reduced-motion,registry:hook,true,react,,false,false,false,0,0,true,false,27
utils,registry:lib,false,clsx;tailwind-merge,,false,false,false,0,0,false,false,37
version-history,registry:component,true,react,,false,false,false,8,1,false,false,59
